metric_id,metric_unit,asset_id,opc_ns,opc_id,notes
053A6MKA50CE010XQ11,,kgw,4,053_A6_MKA50_CE010%#_#%%#_#%XQ11,external
053A6MKA50CE011XQ10,Hz,kgw,4,053_A6_MKA50_CE011%#_#%%#_#%XQ10,external - Hz
053A6MKA50CE012XQ07,MVA,kgw,4,053_A6_MKA50_CE012%#_#%%#_#%XQ07,external - MVA
053A6MKA50CE012XQ08,MW,kgw,4,053_A6_MKA50_CE012%#_#%%#_#%XQ08,DT5 ACTV-POW GEN - MW
053A6MKA50CE012XQ09,Mvar,kgw,4,053_A6_MKA50_CE012%#_#%%#_#%XQ09,external - Mvar
053A6MKA50CE014XQ01,A,kgw,4,053_A6_MKA50_CE014%#_#%%#_#%XQ01,external - A
053A6MKA50CE014XQ02,A,kgw,4,053_A6_MKA50_CE014%#_#%%#_#%XQ02,external - A
053A6MKA50CE014XQ03,A,kgw,4,053_A6_MKA50_CE014%#_#%%#_#%XQ03,external - A
053A6MKA50CE014XQ04,V,kgw,4,053_A6_MKA50_CE014%#_#%%#_#%XQ04,external - V
053A6MKA50CE014XQ05,V,kgw,4,053_A6_MKA50_CE014%#_#%%#_#%XQ05,external - V
053A6MKA50CE014XQ06,V,kgw,4,053_A6_MKA50_CE014%#_#%%#_#%XQ06,external - V
053A6MKA50CE099XQ00,V,kgw,4,053_A6_MKA50_CE099%#_#%%#_#%XQ00,external - V
053A6MKA50CE099XQ01,A,kgw,4,053_A6_MKA50_CE099%#_#%%#_#%XQ01,external - A
053A6MKA50CT001XQ01,°C,kgw,4,053_A6_MKA50_CT001%#_#%%#_#%XQ01,external - °C
053A6MKA50CT701XQ01,°C,kgw,4,053_A6_MKA50_CT701%#_#%%#_#%XQ01,external - °C
053A6MKA50CT702XQ01,°C,kgw,4,053_A6_MKA50_CT702%#_#%%#_#%XQ01,external - °C
053A6MKA50CT703XQ01,°C,kgw,4,053_A6_MKA50_CT703%#_#%%#_#%XQ01,external - °C
053A6MKA50CT901XQ01,°C,kgw,4,053_A6_MKA50_CT901%#_#%%#_#%XQ01,external - °C
053A6MKA50CT902XQ01,°C,kgw,4,053_A6_MKA50_CT902%#_#%%#_#%XQ01,external - °C
053A6MKA50DE010XA01,,kgw,4,053_A6_MKA50_DE010%#_#%%#_#%XA01,external
053A6MKA50DE010XA92,,kgw,4,053_A6_MKA50_DE010%#_#%%#_#%XA92,external
053A6MKA50DE010XQ37,MW,kgw,4,053_A6_MKA50_DE010%#_#%%#_#%XQ37,external - MW
053A6MKA50DE010XQ91,MW,kgw,4,053_A6_MKA50_DE010%#_#%%#_#%XQ91,external - MW
053A6MKC50DE010XQ02,Mvar,kgw,4,053_A6_MKC50_DE010%#_#%%#_#%XQ02,external - Mvar
053A6MKC50DE010XQ91,Mvar,kgw,4,053_A6_MKC50_DE010%#_#%%#_#%XQ91,external - Mvar
053A6MKC50DE010YG01,,kgw,4,053_A6_MKC50_DE010%#_#%%#_#%YG01,external
053A6MKC50DE020XA01,,kgw,4,053_A6_MKC50_DE020%#_#%%#_#%XA01,external
053A6MKC50DE020XQ02,cos phi,kgw,4,053_A6_MKC50_DE020%#_#%%#_#%XQ02,external - cos phi
053A6MKC50DE020YG01,,kgw,4,053_A6_MKC50_DE020%#_#%%#_#%YG01,external
053A6MKC50DE020YQ01,,kgw,4,053_A6_MKC50_DE020%#_#%%#_#%YQ01,external
053A6MKD50CT901XQ01,°C,kgw,4,053_A6_MKD50_CT901%#_#%%#_#%XQ01,external - °C
053A6MKD50CY901XQ01,µm,kgw,4,053_A6_MKD50_CY901%#_#%%#_#%XQ01,external - µm
053A6MKD51CT901XQ01,°C,kgw,4,053_A6_MKD51_CT901%#_#%%#_#%XQ01,external - °C
053A6MKD51CY901XQ01,µm,kgw,4,053_A6_MKD51_CY901%#_#%%#_#%XQ01,external - µm
053A6MKF20AA101XB01,,kgw,4,053_A6_MKF20_AA101%#_#%%#_#%XB01,external
053A6MKF20AA101XB95,,kgw,4,053_A6_MKF20_AA101%#_#%%#_#%XB95,external
053A9HAD10CP001XQ01,bar,kgw,4,053_A9_HAD10_CP001%#_#%%#_#%XQ01,K4 P STM - bar
053A9HAD10CQ001XQ01,µS/cm,kgw,4,053_A9_HAD10_CQ001%#_#%%#_#%XQ01,external - µS/cm
053A9HAD10GH002XV01,,kgw,4,053_A9_HAD10_GH002%#_#%%#_#%XV01,K4 in Druckregelung
053A9HHG10CF901XQ01,Nm³/h,kgw,4,053_A9_HHG10_CF901%#_#%%#_#%XQ01,K4 GAS-F - Nm³/h
053A9HNA10CT001XQ01,°C,kgw,4,053_A9_HNA10_CT001%#_#%%#_#%XQ01,external - °C
053A9HNA20CQ001XQ11,Vol%,kgw,4,053_A9_HNA20_CQ001%#_#%%#_#%XQ11,external - Vol%
053A9HNA20CQ002XQ11,mg/Nm³,kgw,4,053_A9_HNA20_CQ002%#_#%%#_#%XQ11,external - mg/Nm³
053A9HNA20CQ003XQ11,mg/Nm³,kgw,4,053_A9_HNA20_CQ003%#_#%%#_#%XQ11,external - mg/Nm³
053A9LAC11AP001XB01,,kgw,4,053_A9_LAC11_AP001%#_#%%#_#%XB01,external
053A9LAC11CP701XQ01,mbar,kgw,4,053_A9_LAC11_CP701%#_#%%#_#%XQ01,external - mbar
053A9LAC12AP001XB01,,kgw,4,053_A9_LAC12_AP001%#_#%%#_#%XB01,external
053A9LAC12CP701XQ01,mbar,kgw,4,053_A9_LAC12_CP701%#_#%%#_#%XQ01,external - mbar
053A9LBA01CF901XQ01,t/h,kgw,4,053_A9_LBA01_CF901%#_#%%#_#%XQ01,K4 STM-F - t/h
053A9LBA01CT001XQ01,°C,kgw,4,053_A9_LBA01_CT001%#_#%%#_#%XQ01,K4 T STM - °C
120A0AEA00FE911XQ05,,kgw,4,120 A0 AEA00 FE911%#_#%114193%#_#%XQ05,Operationmode
120A0AEA00FE911XQ01,MW,kgw,4,120 A0 AEA00 FE911%#_#%%#_#%XQ01,Setpoint Export - MW
120A0CJA00CE001XQ01,,kgw,4,120_A0_CJA00_CE001%#_#%%#_#%XQ01,Übergabelst
120A0CJA00EE002XV91,bool,kgw,4,120_A0_CJA00_EE002%#_#%%#_#%XV91,Rückmeldung DT5 regelt 7 bar Netzdruck - bool
120A0CJA00EE004XQ04,,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XQ04,Besicherungreihenfolge K4
120A0CJA00EE004XQ07,,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XQ07,Besicherungreihenfolge K7
120A0CJA00EE004XQ08,,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XQ08,Besicherungreihenfolge K8
120A0CJA00EE004XQ09,,kgw,4,120_A0_CJA00_EE004%#_#%%#_#%XQ09,Besicherungreihenfolge RedStat110/7
